gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
843,201708120RAL,1,2017,08/12/2017,16,1,DAL,Roughnecks,27,1723.9451492177457,1738.2149488768828,RAL,Flyers,24,1668.7176530504578,1654.4478533913207,A,W,0.4873780343211299
844,201708120MAD,0,2017,08/12/2017,15,1,MAD,Radicals,27,1719.84745195489,1728.3997524415845,PIT,Thunderbirds,22,1600.7995078333154,1592.2472073466208,H,W,0.7414864291681181
844,201708120MAD,1,2017,08/12/2017,16,1,PIT,Thunderbirds,22,1600.7995078333154,1592.2472073466208,MAD,Radicals,27,1719.84745195489,1728.3997524415845,A,L,0.25851357083188187
845,201708120SJX,0,2017,08/12/2017,15,1,SJ,Spiders,24,1525.82346374133,1500.5463405002147,LA,Aviators,33,1560.8158729331672,1586.0929961742825,H,L,0.5416485509900644
845,201708120SJX,1,2017,08/12/2017,15,1,LA,Aviators,33,1560.8158729331672,1586.0929961742825,SJ,Spiders,24,1525.82346374133,1500.5463405002147,A,W,0.45835144900993563
846,201708130TOR,0,2017,08/13/2017,15,1,TOR,Rush,29,1685.0864467667784,1694.6199559275863,DC,Breeze,26,1648.7782079285043,1639.2446987676965,H,W,0.6404736796118128
846,201708130TOR,1,2017,08/13/2017,16,1,DC,Breeze,26,1648.7782079285043,1639.2446987676965,TOR,Rush,29,1685.0864467667784,1694.6199559275863,A,L,0.3595263203881872
847,201708130SFX,0,2017,08/13/2017,15,1,SF,Flamethrowers,33,1638.3984856284899,1654.3816516158727,LA,Aviators,22,1586.0929961742825,1570.1098301868997,H,W,0.6613930317097781
847,201708130SFX,1,2017,08/13/2017,16,1,LA,Aviators,22,1586.0929961742825,1570.1098301868997,SF,Flamethrowers,33,1638.3984856284899,1654.3816516158727,A,L,0.33860696829022185
848,201708260MAD,0,2017,08/26/2017,16,1,MAD,Radicals,19,1728.3997524415845,1708.2496124883526,SF,Flamethrowers,23,1654.3816516158727,1674.5317915691046,N,L,0.6049378040539697
