,gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,pts,elo_i,elo_n,opp_id,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
128,65,201605070ATL,0,2016,05/07/2016,6,0,ATL,25,1519.2940890643677,1526.7511903890963,RAL,23,1515.8262460218282,1508.3691446970995,H,W,0.6446510234899273
129,65,201605070ATL,1,2016,05/07/2016,6,0,RAL,23,1515.8262460218282,1508.3691446970995,ATL,25,1519.2940890643677,1526.7511903890963,A,L,0.3553489765100727
130,66,201605070VAN,0,2016,05/07/2016,3,0,VAN,27,1505.6334481766298,1516.8642755731182,SD,19,1437.3352333207188,1426.1044059242304,H,W,0.72488072671305
131,66,201605070VAN,1,2016,05/07/2016,7,0,SD,19,1437.3352333207188,1426.1044059242304,VAN,27,1505.6334481766298,1516.8642755731182,A,L,0.27511927328694996
132,67,201605130MAD,0,2016,05/13/2016,4,0,MAD,18,1569.6548951235457,1580.4733161201202,CHI,11,1505.2155682835494,1494.3971472869748,H,W,0.720428652401671
133,67,201605130MAD,1,2016,05/13/2016,5,0,CHI,11,1505.2155682835494,1494.3971472869748,MAD,18,1569.6548951235457,1580.4733161201202,A,L,0.279571347598329
134,68,201605140TOR,0,2016,05/14/2016,6,0,TOR,22,1540.0448062141932,1554.452613782185,NY,14,1528.3040380631203,1513.8962304951285,H,W,0.6554835950962439
135,68,201605140TOR,1,2016,05/14/2016,5,0,NY,14,1528.3040380631203,1513.8962304951285,TOR,22,1540.0448062141932,1554.452613782185,A,L,0.3445164049037561
136,69,201605140PHI,0,2016,05/14/2016,4,0,PHI,15,1431.3910004022064,1408.872236278493,DC,24,1538.0194571157,1560.5382212394136,H,L,0.49046204116601455
137,69,201605140PHI,1,2016,05/14/2016,6,0,DC,24,1538.0194571157,1560.5382212394136,PHI,15,1431.3910004022064,1408.872236278493,A,W,0.5095379588339854
138,70,201605140VAN,0,2016,05/14/2016,4,0,VAN,18,1516.8642755731182,1499.3937777145877,SF,22,1591.4662636719088,1608.9367615304393,H,L,0.5364857095127937
139,70,201605140VAN,1,2016,05/14/2016,7,0,SF,22,1591.4662636719088,1608.9367615304393,VAN,18,1516.8642755731182,1499.3937777145877,A,W,0.46351429048720627
140,71,201605140JAX,0,2016,05/14/2016,6,0,JAX,25,1489.031502123925,1494.1927949834658,RAL,24,1508.3691446970995,1503.2078518375588,H,W,0.6140408339820587
141,71,201605140JAX,1,2016,05/14/2016,7,0,RAL,24,1508.3691446970995,1503.2078518375588,JAX,25,1489.031502123925,1494.1927949834658,A,L,0.38595916601794134
142,72,201605140IND,0,2016,05/14/2016,6,0,IND,31,1496.5511135277172,1515.6122126122925,PIT,23,1555.9030699860648,1536.8419709014895,H,W,0.5582317925062323
143,72,201605140IND,1,2016,05/14/2016,6,0,PIT,23,1555.9030699860648,1536.8419709014895,IND,31,1496.5511135277172,1515.6122126122925,A,L,0.44176820749376766
144,73,201605140NSH,0,2016,05/14/2016,6,0,NSH,22,1449.9271760633094,1422.1581099970463,AUS,29,1451.588468550682,1479.357534616945,H,L,0.6378588817129763
145,73,201605140NSH,1,2016,05/14/2016,7,0,AUS,29,1451.588468550682,1479.357534616945,NSH,22,1449.9271760633094,1422.1581099970463,A,W,0.36214111828702367
146,74,2016051400SJ,0,2016,05/14/2016,4,0,SJ,26,1474.3193379823128,1466.6070751831285,SEA,27,1540.944807046145,1548.6570698453293,H,L,0.5478826232221777
147,74,2016051400SJ,1,2016,05/14/2016,8,0,SEA,27,1540.944807046145,1548.6570698453293,SJ,26,1474.3193379823128,1466.6070751831285,A,W,0.45211737677782227
148,75,201605140DET,0,2016,05/14/2016,6,0,DET,13,1454.3149203013684,1430.194343151678,MAD,26,1580.4733161201202,1604.5938932698107,H,L,0.46242601245944315
149,75,201605140DET,1,2016,05/14/2016,5,0,MAD,26,1580.4733161201202,1604.5938932698107,DET,13,1454.3149203013684,1430.194343151678,A,W,0.5375739875405569
150,76,201605140MIN,0,2016,05/14/2016,7,0,MIN,26,1544.1882123969367,1551.8943955807194,CHI,23,1494.3971472869748,1486.690964103192,H,W,0.7031340119384338
151,76,201605140MIN,1,2016,05/14/2016,6,0,CHI,23,1494.3971472869748,1486.690964103192,MIN,26,1544.1882123969367,1551.8943955807194,A,L,0.29686598806156617
152,77,201605150MTL,0,2016,05/15/2016,6,0,MTL,12,1489.1723035487355,1466.6620532065529,NY,17,1513.8962304951285,1536.4064808373112,H,L,0.6066671072991654
153,77,201605150MTL,1,2016,05/15/2016,6,0,NY,17,1513.8962304951285,1536.4064808373112,MTL,12,1489.1723035487355,1466.6620532065529,A,W,0.3933328927008346
154,78,201605150ATL,0,2016,05/15/2016,7,0,ATL,22,1526.7511903890963,1516.3466558874927,AUS,23,1479.357534616945,1489.7620691185487,H,L,0.7002452701405953
155,78,201605150ATL,1,2016,05/15/2016,8,0,AUS,23,1479.357534616945,1489.7620691185487,ATL,22,1526.7511903890963,1516.3466558874927,A,W,0.29975472985940466
156,79,201605200SEA,0,2016,05/20/2016,9,0,SEA,27,1548.6570698453293,1560.1561712127161,SJ,17,1466.6070751831285,1455.1079738157416,H,W,0.7403837415487289
157,79,201605200SEA,1,2016,05/20/2016,5,0,SJ,17,1466.6070751831285,1455.1079738157416,SEA,27,1548.6570698453293,1560.1561712127161,A,L,0.2596162584512711
158,80,201605210VAN,0,2016,05/21/2016,5,0,VAN,22,1499.3937777145877,1505.652398519685,SJ,20,1455.1079738157416,1448.8493530106443,H,W,0.69647667713679
159,80,201605210VAN,1,2016,05/21/2016,6,0,SJ,20,1455.1079738157416,1448.8493530106443,VAN,22,1499.3937777145877,1505.652398519685,A,L,0.30352332286321004
